path,sample,radius_m,angle_deg,target_x_m,target_y_m,final_x_m,final_y_m,theta1_deg,theta2_deg,theta3_deg
quarter_circle_workspace,2017,0.318,14.999999999999998,-0.012835587240076274,-0.23769554365739842,-0.012835640405216439,-0.23769548017105405,57.6230893049094,-67.54727283251542,2.1199147848063573
quarter_circle_workspace,2018,0.318,16.0,-0.014318780691614574,-0.23234732085019427,-0.01431883260089127,-0.2323472613421812,58.59974106820064,-68.10290453111324,3.2188295922364354
quarter_circle_workspace,2019,0.318,17.0,-0.015895087603754743,-0.2270257978981697,-0.01589516136266428,-0.22702573415710162,59.57209573065175,-68.56953171262064,4.160419953856337
quarter_circle_workspace,2020,0.318,18.0,-0.017564027818141204,-0.22173259578876675,-0.01756408848366675,-0.22173254003074563,60.53030201066934,-69.10965505290842,5.273116289555366
quarter_circle_workspace,2021,0.318,18.999999999999996,-0.019325092959417256,-0.21646932688262419,-0.019325168574180013,-0.21646927008830746,61.487787978788496,-69.55191394484196,6.203529477958421
quarter_circle_workspace,2022,0.318,20.0,-0.021177746590081148,-0.21123759442243734,-0.021177829449634478,-0.2112375393842952,62.43741961133068,-69.99323655117875,7.1505003013937944
quarter_circle_workspace,2023,0.318,21.0,-0.023121424373889865,-0.20603899204459453,-0.02312150904342565,-0.20603894030870185,63.37996225623203,-70.42511714080544,8.096277736292064
quarter_circle_workspace,2024,0.318,22.0,-0.025155534247761624,-0.20087510329373998,-0.025155617142603295,-0.20087505560454216,64.31625644015938,-70.84252639186002,9.029472381879987
quarter_circle_workspace,2025,0.318,22.999999999999996,-0.02727945660212394,-0.19574750114041095,-0.027279535457699525,-0.19574745775051663,65.24716428001058,-71.24257643101977,9.942669897569667
quarter_circle_workspace,2026,0.318,24.0,-0.029492544469652937,-0.19065774750189557,-0.02949261791079419,-0.1906577083719056,66.17354249880243,-71.62369384402881,10.830937751613927
quarter_circle_workspace,2027,0.318,25.0,-0.0317941237223453,-0.18560739276645757,-0.031794215272767073,-0.18560735419245633,67.10780238231266,-71.93325814820255,11.566390233624253
quarter_circle_workspace,2028,0.318,26.0,-0.034183493276864874,-0.18059797532107338,-0.034183567315663424,-0.18059794222671788,68.02340899229803,-72.29647514628005,12.446383394714456
quarter_circle_workspace,2029,0.318,27.0,-0.03665992530809903,-0.1756310210828241,-0.03666000846574215,-0.17563099002968596,68.95077480682936,-72.58385820248054,13.15645987436643
quarter_circle_workspace,2030,0.318,28.0,-0.03922266547086123,-0.17070804303408674,-0.039222750258687475,-0.1707080149090401,69.87378864387276,-72.86711422568091,13.869073262207676
quarter_circle_workspace,2031,0.318,29.000000000000004,-0.04187093312967216,-0.1658305407616648,-0.041871014324748254,-0.1658305157760014,70.79396579661277,-73.1409826552867,14.570808755767397
quarter_circle_workspace,2032,0.318,29.999999999999996,-0.04460392159654847,-0.16100000000000003,-0.0446039958842679,-0.16099997798710666,71.71260696942039,-73.40219244363233,15.25248513221675
quarter_circle_workspace,2033,0.318,31.0,-0.0474207983767283,-0.1562178921786028,-0.047420885877317895,-0.1562178728443121,72.64522582073107,-73.606518948107,15.794586888730896
quarter_circle_workspace,2034,0.318,32.0,-0.05032070542225653,-0.15148567397384086,-0.0503207968080555,-0.15148565751925053,73.57443009830013,-73.81069022879984,16.344510780796327
quarter_circle_workspace,2035,0.318,33.0,-0.05330275939335516,-0.1468047868652214,-0.053302847493308325,-0.14680477298709224,74.50186266202114,-74.00987510044044,16.889333478772663
quarter_circle_workspace,2036,0.318,34.0,-0.05636605192749672,-0.1421766566963025,-0.056366131728651486,-0.14217664479830278,75.42893667831574,-74.20070381093626,17.41940862544286
